Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
RN4,10K,R_Array_Convex_4x0603,99.638,-140.854,0.0,top
RN5,10K,R_Array_Convex_4x0603,118.607,-153.867,270.0,top
RN6,10K,R_Array_Convex_4x0603,114.173,-141.097,0.0,top
RN7,10K,R_Array_Convex_4x0603,132.726,-153.74,270.0,top
RN8,10K,R_Array_Convex_4x0603,126.943,-141.108,0.0,top
RN9,10K,R_Array_Convex_4x0603,145.68,-153.994,270.0,top
TH1,Thermistor_PTC,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,79.756,-166.9195,90.0,top
TH10,Thermistor_PTC,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,69.154,-170.688,180.0,top
TH2,Thermistor_PTC,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,91.186,-167.1735,90.0,top
TH3,Thermistor_PTC,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,104.521,-167.4275,90.0,top
TH4,Thermistor_PTC,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,118.491,-167.767,90.0,top
TH5,Thermistor_PTC,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,132.461,-167.3005,90.0,top
TH6,Thermistor_PTC,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,145.669,-167.259,90.0,top
TH7,Thermistor_PTC,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,64.897,-139.319,180.0,top
TH8,Thermistor_PTC,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,150.876,-135.382,90.0,top
TH9,Thermistor_PTC,R_1206_3216Metric,107.823,-132.461,-90.0,top
